"npz_filename”,”nn_h5_filename”,”test_loss","test_accuracy"
aug_sigma37_20161028_172124.npz,nn_20161028_172124.h5,0.498599995059,0.807797215961
aug_sigma31_20161031_113851.npz,nn_20161031_113851.h5,0.48160233108224293,0.81613990484224208
aug_sigma33_20161027_172635.npz,nn_20161027_172635.h5,0.47490609137793521,0.81902775502637126
aug_sigma25_20161101_112314.npz,nn_20161101_112314.h5,0.48805803389490349,0.81341248581425907
aug_sigma41_20161101_133448.npz,nn_20161101_150232.h5,0.47409013199152122,0.81982995058815833
